,Keggin D2O 490,Keggin H2O 480,Keggin D2O/H2O 490
0.0024,0.01254,0.04628,0.01339
0.0144,0.009255,0.04708,0.01174
0.0264,0.007622,0.04918,0.01367
0.0384,0.01172,0.09376,0.01312
0.0504,0.01117,0.166,0.01643
0.0624,0.01062,0.1768,0.01588
0.0744,0.01419,0.178,0.01726
0.08641,0.01117,0.1764,0.01921
0.09841,0.01364,0.178,0.01726
0.1104,0.01474,0.174,0.02201
0.1224,0.01254,0.1776,0.01949
0.1344,0.01724,0.1804,0.02145
0.1464,0.01392,0.18,0.02342
0.1584,0.01613,0.1833,0.02173
0.1704,0.01696,0.1817,0.02483
0.1824,0.01502,0.1837,0.02455
0.1944,0.01807,0.1866,0.02426
0.2064,0.01668,0.1862,0.02795
0.2184,0.01668,0.1911,0.02483
0.2304,0.02002,0.1899,0.02881
0.2424,0.0164,0.1915,0.02824
0.2544,0.01974,0.1941,0.02824
0.2664,0.01919,0.1941,0.03109
0.2784,0.01807,0.1991,0.02966
0.2904,0.02142,0.1983,0.03167
0.3024,0.01807,0.1991,0.03311
0.3144,0.0217,0.2025,0.03138
0.3264,0.0203,0.2017,0.03513
0.3384,0.02002,0.2051,0.03311
0.3504,0.02283,0.206,0.03426
0.3624,0.0203,0.2068,0.03658
0.3744,0.02227,0.2107,0.03426
0.3864,0.02283,0.2094,0.03803
0.3984,0.02058,0.2116,0.03629
0.4104,0.0248,0.2134,0.03716
0.4224,0.02227,0.2125,0.03949
0.4344,0.02339,0.2186,0.03774
0.4464,0.02537,0.2173,0.04008
0.4584,0.02199,0.2195,0.04008
0.4704,0.02622,0.2213,0.0392
0.4824,0.02367,0.2191,0.04301
0.4944,0.02452,0.2231,0.04008
0.5064,0.0265,0.2231,0.04301
0.5184,0.02367,0.2245,0.04272
0.5304,0.02622,0.2281,0.04213
0.5424,0.02622,0.2267,0.04508
0.5544,0.0248,0.2294,0.0439
0.5664,0.02849,0.2299,0.04479
0.5784,0.02537,0.2303,0.04686
0.5904,0.02792,0.2345,0.04449
0.6024,0.02849,0.2326,0.04835
0.6144,0.02622,0.2363,0.04657
0.6264,0.03021,0.2359,0.04805
0.6384,0.02735,0.2349,0.04925
0.6504,0.02878,0.2396,0.04746
0.6624,0.02992,0.2386,0.05075
0.6744,0.02792,0.2414,0.04955
0.6864,0.03107,0.2428,0.05045
0.6984,0.02935,0.2414,0.05225
0.7104,0.02992,0.2442,0.05015
0.7224,0.03164,0.2433,0.05255
0.7344,0.02964,0.2442,0.05285
0.7464,0.03222,0.2485,0.05105
0.7584,0.03164,0.2466,0.05497
0.7704,0.03021,0.2504,0.05195
0.7825,0.03394,0.2495,0.05436
0.7945,0.03049,0.2495,0.05436
0.8065,0.03337,0.2523,0.05315
0.8185,0.03279,0.2509,0.05618
0.8305,0.03164,0.2547,0.05436
0.8425,0.03481,0.2547,0.05557
0.8545,0.03222,0.2533,0.0574
0.8665,0.03423,0.2557,0.05466
0.8785,0.03452,0.2542,0.05862
0.8905,0.0325,0.2562,0.05648
0.9025,0.03568,0.2571,0.0574
0.9145,0.03423,0.2562,0.05892
0.9265,0.03423,0.2606,0.05709
0.9385,0.03684,0.2591,0.05954
0.9505,0.03337,0.2596,0.05954
