,766b,742b1,769a
0.0012,0.1252,0.2578,0.08612
0.0072,0.1627,0.4608,0.1692
0.0132,0.1856,0.5705,0.1946
0.0192,0.2045,0.6427,0.2325
0.0252,0.2186,0.6997,0.264
0.0312,0.2285,0.753,0.2884
0.0372,0.2504,0.8155,0.3137
0.0432,0.27,0.8783,0.3365
0.0492,0.2807,0.9327,0.3599
0.0552,0.2921,0.9765,0.3828
0.0612,0.3061,1.017,0.4062
0.0672,0.3165,1.055,0.4309
0.0732,0.3261,1.093,0.451
0.07921,0.3395,1.128,0.4752
0.08521,0.352,1.178,0.495
0.09121,0.3605,1.212,0.5166
0.09721,0.3743,1.24,0.5393
0.1032,0.3879,1.269,0.5555
0.1092,0.3972,1.306,0.5773
0.1152,0.4081,1.346,0.5971
0.1212,0.4207,1.37,0.6101
0.1272,0.43,1.403,0.635
0.1332,0.4403,1.424,0.6504
0.1392,0.4531,1.447,0.6638
0.1452,0.4647,1.47,0.6855
0.1512,0.4726,1.494,0.6974
0.1572,0.4873,1.539,0.7152
0.1632,0.4998,1.548,0.7309
0.1692,0.5067,1.568,0.7427
0.1752,0.5181,1.578,0.7563
0.1812,0.5316,1.599,0.7719
0.1872,0.5371,1.61,0.7865
0.1932,0.5474,1.656,0.7982
0.1992,0.56,1.669,0.8137
0.2052,0.5689,1.695,0.8244
0.2112,0.5769,1.682,0.839
0.2172,0.5903,1.695,0.8485
0.2232,0.6009,1.708,0.8581
0.2292,0.6085,1.752,0.8699
0.2352,0.6196,1.752,0.8841
0.2412,0.6309,1.784,0.8903
0.2472,0.6356,1.768,0.9053
0.2532,0.6438,1.768,0.914
0.2592,0.6558,1.784,0.9185
0.2652,0.6619,1.836,0.9344
0.2712,0.6694,1.836,0.939
0.2772,0.6835,1.855,0.9438
0.2832,0.6927,1.855,0.9607
0.2892,0.698,1.836,0.9656
0.2952,0.7103,1.836,0.9681
0.3012,0.7186,1.855,0.9834
0.3072,0.7215,1.941,0.9886
0.3132,0.73,1.918,0.9939
0.3192,0.7403,1.918,1.002
0.3252,0.7447,1.875,1.01
0.3312,0.7523,1.896,1.01
0.3372,0.7631,1.918,1.021
0.3432,0.7725,1.941,1.033
0.3492,0.779,1.941,1.027
0.3552,0.7871,1.965,1.042
0.3612,0.7954,1.918,1.048
0.3672,0.8022,1.941,1.045
0.3732,0.8057,1.918,1.06
0.3792,0.8126,1.991,1.057
0.3852,0.8179,1.991,1.063
0.3912,0.825,1.991,1.076
0.3972,0.8341,1.965,1.069
0.4032,0.8378,1.965,1.076
0.4092,0.8471,1.991,1.089
0.4152,0.8548,1.991,1.085
0.4212,0.8626,1.991,1.089
0.4272,0.8665,1.991,1.102
0.4332,0.8725,1.991,1.099
0.4392,0.8785,1.991,1.102
0.4452,0.8785,1.991,1.112
0.4512,0.8868,1.991,1.112
0.4572,0.8951,1.991,1.109
0.4632,0.8973,1.991,1.127
0.4692,0.9037,1.991,1.119
0.4752,0.9146,1.991,1.123
