,[a] 0.46296,[b] 0.92593,[c] 1.38889,[d] 1.85184,[e] 2.3148,[f] 3.19442,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0.0048,5.97E-05,5.99E-05,5.88E-05,5.67E-05,5.34E-05,4.72E-05,2.16E-04,3.82E-04,4.13E-04,4.19E-04,3.76E-04,2.20E-04,-0.003176219,-0.006019849,-0.006485473,-0.00670997,-0.003494932,-0.006599446,-0.007170719,-0.007375871
0.0288,6.48E-05,6.91E-05,6.87E-05,6.68E-05,6.25E-05,5.25E-05,1.40E-04,2.37E-04,2.57E-04,2.58E-04,2.33E-04,1.45E-04,-0.003147117,-0.006061422,-0.006622665,-0.006934467,-0.002382809,-0.004592466,-0.004970948,-0.00512248
0.0528,6.64E-05,7.13E-05,7.11E-05,6.91E-05,6.47E-05,5.42E-05,6.49E-05,9.10E-05,9.48E-05,8.58E-05,8.52E-05,6.47E-05,-0.001596424,-0.003201163,-0.003625213,-0.003621056,-0.001522072,-0.003004939,-0.003236767,-0.003338951
0.0768,6.80E-05,7.34E-05,7.32E-05,7.09E-05,6.66E-05,5.56E-05,6.31E-05,8.38E-05,8.30E-05,8.38E-05,7.70E-05,5.45E-05,-8.31E-05,-4.41E-04,-2.58E-04,-1.16E-04,-8.84E-04,-0.001792192,-0.001917703,-0.00197551
0.1008,6.94E-05,7.53E-05,7.51E-05,7.31E-05,6.84E-05,5.68E-05,6.09E-05,6.98E-05,8.24E-05,8.02E-05,7.64E-05,4.65E-05,-2.41E-04,-5.03E-04,-2.12E-04,-1.95E-04,-4.38E-04,-9.10E-04,-9.63E-04,-9.82E-04
0.1248,7.09E-05,7.68E-05,7.72E-05,7.47E-05,7.02E-05,5.78E-05,5.15E-05,5.97E-05,7.28E-05,7.44E-05,7.06E-05,4.45E-05,-4.53E-04,-2.20E-04,-5.28E-04,-3.91E-04,-1.56E-04,-3.12E-04,-3.23E-04,-3.10E-04
0.1488,7.19E-05,7.82E-05,7.86E-05,7.67E-05,7.17E-05,5.89E-05,3.91E-05,5.93E-05,5.71E-05,6.15E-05,5.03E-05,4.39E-05,-2.87E-04,-2.91E-05,-2.29E-04,-4.95E-04,-8.99E-06,4.41E-05,5.35E-05,9.20E-05
0.1728,7.27E-05,7.96E-05,7.99E-05,7.77E-05,7.26E-05,5.99E-05,3.77E-05,5.83E-05,6.19E-05,5.07E-05,4.73E-05,3.97E-05,1.95E-04,-9.98E-05,-1.08E-04,-1.95E-04,3.28E-05,2.04E-04,2.17E-04,2.73E-04
0.1968,7.37E-05,8.10E-05,8.15E-05,7.91E-05,7.40E-05,6.08E-05,4.85E-05,5.45E-05,5.19E-05,5.21E-05,6.09E-05,3.89E-05,1.41E-04,-2.29E-04,-3.53E-04,6.65E-05,-1.57E-06,2.13E-04,2.17E-04,2.82E-04
0.2208,7.51E-05,8.23E-05,8.24E-05,8.02E-05,7.56E-05,6.18E-05,4.45E-05,4.73E-05,4.49E-05,5.39E-05,5.01E-05,3.43E-05,-4.82E-04,-3.16E-04,4.16E-06,-1.21E-04,9.01E-06,2.34E-04,2.89E-04,3.00E-04
0.2448,7.58E-05,8.33E-05,8.37E-05,8.17E-05,7.64E-05,6.25E-05,2.53E-05,3.93E-05,5.21E-05,4.63E-05,3.07E-05,2.95E-05,-4.45E-04,-2.74E-04,-8.31E-05,-3.78E-04,-4.39E-05,1.63E-05,3.19E-05,1.11E-05
0.2688,7.63E-05,8.41E-05,8.49E-05,8.24E-05,7.70E-05,6.32E-05,2.31E-05,3.41E-05,4.09E-05,3.57E-05,3.15E-05,2.61E-05,1.66E-05,-9.15E-05,-4.16E-04,-2.70E-04,-8.84E-05,-1.42E-04,-1.63E-04,-1.64E-04
0.2928,7.69E-05,8.49E-05,8.57E-05,8.34E-05,7.79E-05,6.37E-05,2.61E-05,3.49E-05,3.21E-05,3.33E-05,4.85E-05,2.27E-05,-4.16E-05,-4.16E-05,-9.98E-05,1.04E-04,-7.09E-05,-1.34E-04,-1.11E-04,-1.01E-04
0.3168,7.75E-05,8.58E-05,8.64E-05,8.40E-05,7.94E-05,6.43E-05,2.12E-05,3.21E-05,3.61E-05,4.07E-05,4.39E-05,2.31E-05,-2.12E-04,-1.83E-04,-4.16E-05,9.56E-05,-8.65E-05,-1.32E-04,-9.95E-05,-1.13E-04
0.3408,7.79E-05,8.64E-05,8.74E-05,8.54E-05,8.00E-05,6.48E-05,1.60E-05,2.61E-05,3.01E-05,3.79E-05,2.23E-05,2.14E-05,-2.74E-04,-1.12E-04,-2.58E-04,-3.08E-04,-1.18E-04,-1.28E-04,-1.01E-04,-1.32E-04
0.3648,7.83E-05,8.71E-05,8.79E-05,8.58E-05,8.04E-05,6.53E-05,7.98E-06,2.67E-05,2.37E-05,2.59E-05,1.98E-05,2.18E-05,-4.99E-05,-1.21E-04,9.15E-05,-3.12E-04,-1.08E-04,-1.00E-04,-9.57E-05,-1.16E-04
0.3888,7.83E-05,8.77E-05,8.85E-05,8.66E-05,8.10E-05,6.59E-05,1.36E-05,2.04E-05,3.45E-05,2.29E-05,3.17E-05,2.39E-05,5.24E-04,-2.04E-04,1.66E-05,-1.95E-04,-7.63E-05,-5.21E-05,-9.98E-05,-8.69E-05
0.4128,7.90E-05,8.80E-05,8.95E-05,8.69E-05,8.20E-05,6.65E-05,3.31E-05,1.70E-05,2.45E-05,1.66E-05,3.23E-05,2.02E-05,2.41E-04,7.90E-05,-3.49E-04,8.31E-05,-6.19E-05,-2.72E-05,-7.44E-05,-5.73E-05
0.4368,7.99E-05,8.85E-05,8.97E-05,8.74E-05,8.25E-05,6.68E-05,2.51E-05,2.41E-05,1.78E-05,2.69E-05,1.80E-05,1.64E-05,-5.16E-04,8.31E-06,1.66E-04,2.95E-04,-4.95E-05,-5.80E-05,-5.75E-05,-4.43E-05
0.4608,8.02E-05,8.92E-05,9.04E-05,8.82E-05,8.28E-05,6.72E-05,8.38E-06,1.74E-05,3.25E-05,3.07E-05,1.50E-05,1.66E-05,-4.66E-04,-6.24E-05,1.25E-05,-2.74E-04,-2.17E-05,-8.82E-05,-7.53E-05,-5.37E-05
