time,concentration
0.0048,0.5051
0.0288,0.5057
0.0528,0.5112
0.0768,0.5191
0.1008,0.5271
0.1248,0.5335
0.1488,0.539
0.1728,0.5447
0.1968,0.5484
0.2208,0.5532
0.2448,0.558
0.2688,0.5619
0.2928,0.5649
0.3168,0.5669
0.3408,0.5698
0.3648,0.5689
0.3888,0.5698
0.4128,0.5718
0.4368,0.5729
0.4608,0.5759
0.4848,0.5769
0.5088,0.5769
0.5328,0.5789
0.5568,0.5769
0.5808,0.5769
0.6048,0.5789
0.6288,0.5779
0.6528,0.582
0.6768,0.582
0.7008,0.582
0.7248,0.583
0.7488,0.5799
0.7728,0.581
0.7969,0.581
0.8209,0.582
0.8449,0.583
0.8689,0.584
0.8929,0.584
0.9169,0.5851
0.9409,0.584
0.9649,0.584
0.9889,0.584
1.013,0.584
1.037,0.5851
1.061,0.5861
1.085,0.5871
1.109,0.584
1.133,0.584
1.157,0.584
1.181,0.5851
1.205,0.5861
1.229,0.5871
1.253,0.5861
1.277,0.5851
1.301,0.5851
1.325,0.584
1.349,0.5851
1.373,0.5882
1.397,0.5871
1.421,0.5882
1.445,0.5882
1.469,0.5861
1.493,0.5871
1.517,0.5871
1.541,0.5871
1.565,0.5882
1.589,0.5903
1.613,0.5903
1.637,0.5903
1.661,0.5903
1.685,0.5892
1.709,0.5892
1.733,0.5882
1.757,0.5882
1.781,0.5903
1.805,0.5913
1.829,0.5892
1.853,0.5882
1.877,0.5892
1.901,0.5903
