,,,,,Derivative Y1
,H3PO4,H2SO4,HCLO4,,1st derivative of D1
,480,490,490,,--
0.0024,0.047,0.01714,0.04261,,0.00666666666666639
0.0144,0.04708,0.009427,0.04409,,0.0908333333333334
0.0264,0.04918,0.01189,0.04616,,1.945
0.0384,0.09376,0.01327,0.04498,,4.8675
0.0504,0.166,0.01244,0.04291,,3.46
0.0624,0.1768,0.01134,0.04379,,0.499999999999999
0.0744,0.178,0.01244,0.04498,,-0.0166111573688597
0.08641,0.1764,0.01409,0.04706,,5.55092978074406E-5
0.09841,0.178,0.01327,0.04825,,-0.100139004726161
0.1104,0.174,0.01052,0.05185,,-0.0168056713928266
0.1224,0.1776,0.01107,0.05426,,0.266666666666667
0.1344,0.1804,0.01354,0.05487,,0.099999999999999
0.1464,0.18,0.01244,0.05305,,0.120833333333333
0.1584,0.1833,0.01052,0.05457,,0.0708333333333334
0.1704,0.1817,0.01189,0.057,,0.016666666666667
0.1824,0.1837,0.01437,0.0573,,0.204166666666666
0.1944,0.1866,0.01327,0.05426,,0.104166666666667
0.2064,0.1862,0.01107,0.05517,,0.1875
0.2184,0.1911,0.01244,0.05852,,0.154166666666667
0.2304,0.1899,0.01409,0.05791,,0.016666666666667
0.2424,0.1915,0.01382,0.05487,,0.174999999999999
0.2544,0.1941,0.01244,0.05548,,0.108333333333333
0.2664,0.1941,0.01189,0.05883,,0.208333333333334
0.2784,0.1991,0.01437,0.05913,,0.175000000000001
0.2904,0.1983,0.01492,0.05608,,0
0.3024,0.1991,0.01272,0.05578,,0.175
0.3144,0.2025,0.01189,0.05944,,0.108333333333333
0.3264,0.2017,0.01437,0.05975,,0.108333333333334
0.3384,0.2051,0.01548,0.0573,,0.179166666666667
0.3504,0.206,0.01272,0.05669,,0.0708333333333336
0.3624,0.2068,0.01217,0.06005,,0.195833333333334
0.3744,0.2107,0.01465,0.06098,,0.108333333333333
0.3864,0.2094,0.01492,0.05822,,0.0375000000000009
0.3984,0.2116,0.01272,0.05761,,0.166666666666667
0.4104,0.2134,0.01272,0.06098,,0.0374999999999993
0.4224,0.2125,0.01409,0.0619,,0.216666666666666
0.4344,0.2186,0.0152,0.05913,,0.2
0.4464,0.2173,0.01327,0.05791,,0.0375000000000009
0.4584,0.2195,0.01272,0.06128,,0.166666666666667
0.4704,0.2213,0.01409,0.06282,,-0.0166666666666671
0.4824,0.2191,0.01575,0.06036,,0.0749999999999998
0.4944,0.2231,0.01409,0.05913,,0.166666666666667
0.5064,0.2231,0.01189,0.0619,,0.0583333333333338
0.5184,0.2245,0.01354,0.06375,,0.208333333333333
0.5304,0.2281,0.01575,0.06128,,0.0916666666666669
0.5424,0.2267,0.01354,0.05975,,0.0541666666666664
0.5544,0.2294,0.01217,0.06221,,0.133333333333332
0.5664,0.2299,0.01409,0.06468,,0.0375000000000005
0.5784,0.2303,0.01603,0.06252,,0.191666666666666
0.5904,0.2345,0.01382,0.06036,,0.0958333333333331
0.6024,0.2326,0.01272,0.06252,,0.0750000000000023
0.6144,0.2363,0.01382,0.06468,,0.137500000000001
0.6264,0.2359,0.0152,0.06344,,-0.0583333333333338
0.6384,0.2349,0.01437,0.06128,,0.154166666666667
0.6504,0.2396,0.01272,0.06313,,0.154166666666667
0.6624,0.2386,0.01327,0.0653,,0.0749999999999998
0.6744,0.2414,0.0152,0.06468,,0.174999999999999
0.6864,0.2428,0.01492,0.06221,,0
0.6984,0.2414,0.01327,0.06375,,0.0583333333333338
0.7104,0.2442,0.01299,0.06623,,0.079166666666666
0.7224,0.2433,0.01548,0.0653,,0
0.7344,0.2442,0.01492,0.06313,,0.216666666666669
0.7464,0.2485,0.01244,0.06406,,0.100000000000002
0.7584,0.2466,0.01272,0.06592,,0.0791666666666671
0.7704,0.2504,0.0152,0.06623,,0.121143250688705
0.7825,0.2495,0.01465,0.06468,,-0.0371900826446286
0.7945,0.2495,0.01244,0.06468,,0.116666666666668
0.8065,0.2523,0.01299,0.06655,,0.0583333333333338
0.8185,0.2509,0.01465,0.06748,,0.099999999999998
0.8305,0.2547,0.01465,0.0653,,0.158333333333332
0.8425,0.2547,0.01299,0.06499,,-0.0583333333333315
0.8545,0.2533,0.01244,0.06717,,0.0416666666666667
0.8665,0.2557,0.01409,0.06811,,0.0374999999999976
0.8785,0.2542,0.01548,0.06686,,0.0208333333333327
0.8905,0.2562,0.01244,0.0653,,0.120833333333334
0.9025,0.2571,0.01189,0.06779,,0
0.9145,0.2562,0.01437,0.06936,,0.145833333333333
0.9265,0.2606,0.01465,0.06717,,0.120833333333334
0.9385,0.2591,0.01272,0.06592,,-0.0416666666666667
0.9505,0.2596,0.01217,0.06811,,0.0416666666666667
,,0.01409,0.07061,,
,,0.01465,0.06842,,
,,0.01327,0.06686,,
,,0.01189,0.06873,,
,,0.01327,0.07156,,
,,0.01437,0.06967,,
,,0.01354,0.06748,,
,,0.01134,0.07061,,
,,0.01327,0.07219,,
,,0.0152,0.07061,,
,,0.01327,0.06873,,
,,0.01107,0.07156,,
,,0.01327,0.07377,,
,,0.01437,0.07219,,
,,0.01354,0.06999,,
,,0.01189,0.0725,,
,,0.01244,0.07472,,
,,0.01437,0.07345,,
,,0.01382,0.07124,,
,,0.01162,0.07345,,
,,0.01217,0.07567,,
,,0.01492,0.07504,,
,,0.01409,0.07314,,
,,0.01134,0.07472,,
,,0.01244,0.07695,,
,,0.01492,0.07631,,
,,0.01382,0.07504,,
,,0.01162,0.07536,,
,,0.01189,0.07759,,
,,0.01409,0.07823,,
,,0.01354,0.07695,,
,,0.01244,0.07695,,
,,0.01162,0.07919,,
,,0.01382,0.08015,,
,,0.01465,0.07823,,
,,0.01189,0.07791,,
,,0.01107,0.08047,,
,,0.01409,0.08176,,
,,0.01465,0.08015,,
,,0.01189,0.07887,,
,,0.01162,0.08176,,
,,0.01409,0.0837,,
,,0.01437,0.08208,,
,,0.01189,0.08047,,
,,0.01162,0.08305,,
,,0.01299,0.08597,,
,,0.01409,0.08402,,
,,0.01299,0.08241,,
,,0.01079,0.08467,,
,,0.01272,0.0876,,
,,0.01465,0.08565,,
,,0.01327,0.08402,,
,,0.01052,0.08662,,
,,0.01272,0.08924,,
,,0.01465,0.0876,,
,,0.01272,0.08597,,
,,0.01079,0.08859,,
,,0.01244,0.09155,,
,,0.01409,0.0899,,
,,0.01272,0.08793,,
,,0.01107,0.09023,,
,,0.01162,0.09254,,
,,0.01382,0.09221,,
,,0.01327,0.09023,,
,,0.01079,0.09221,,
,,0.01162,0.09486,,
,,0.01409,0.09419,,
,,0.01382,0.09287,,
,,0.01079,0.09353,,
,,0.01162,0.09619,,
,,0.01409,0.09652,,
,,0.01354,0.09519,,
,,0.01079,0.09552,,
,,0.01162,0.09853,,
,,0.01354,0.0992,,
,,0.01354,0.09786,,
,,0.01162,0.09786,,
,,0.01107,0.1002,,
,,0.01327,0.1016,,
,,0.01409,0.1002,,
,,0.01189,0.1002,,
,,0.01079,0.1026,,
,,0.01382,0.1039,,
,,0.01437,0.1029,,
,,0.01162,0.1022,,
,,0.01107,0.1043,,
,,0.01327,0.1063,,
,,0.01382,0.1056,,
,,0.01189,0.1049,,
,,0.01134,0.1067,,
,,0.01217,0.1087,,
,,0.01409,0.108,,
,,0.01217,0.1067,,
,,0.01052,0.1087,,
,,0.01189,0.1118,,
,,0.01465,0.1111,,
,,0.01217,0.1087,,
,,0.01025,0.1111,,
,,0.01244,0.1142,,
,,0.01409,0.1132,,
,,0.01244,0.1111,,
,,0.01079,0.1132,,
,,0.01189,0.1163,,
,,0.01354,0.116,,
,,0.01217,0.1135,,
,,0.01107,0.1156,,
,,0.01162,0.1195,,
,,0.01354,0.1184,,
,,0.01327,0.1167,,
,,0.01025,0.1184,,
,,0.01162,0.1219,,
,,0.01382,0.1209,,
,,0.01299,0.1195,,
,,0.01052,0.1212,,
,,0.01134,0.1244,,
,,0.01327,0.1244,,
,,0.01299,0.1227,,
,,0.01079,0.1241,,
,,0.01107,0.1269,,
,,0.01272,0.1276,,
