"","time","Acid","Product"
"1",0.0024,"H3PO4",0.047
"2",0.0144,"H3PO4",0.04708
"3",0.0264,"H3PO4",0.04918
"4",0.0384,"H3PO4",0.09376
"5",0.0504,"H3PO4",0.166
"6",0.0624,"H3PO4",0.1768
"7",0.0744,"H3PO4",0.178
"8",0.08641,"H3PO4",0.1764
"9",0.09841,"H3PO4",0.178
"10",0.1104,"H3PO4",0.174
"11",0.1224,"H3PO4",0.1776
"12",0.1344,"H3PO4",0.1804
"13",0.1464,"H3PO4",0.18
"14",0.1584,"H3PO4",0.1833
"15",0.1704,"H3PO4",0.1817
"16",0.1824,"H3PO4",0.1837
"17",0.1944,"H3PO4",0.1866
"18",0.2064,"H3PO4",0.1862
"19",0.2184,"H3PO4",0.1911
"20",0.2304,"H3PO4",0.1899
"21",0.2424,"H3PO4",0.1915
"22",0.2544,"H3PO4",0.1941
"23",0.2664,"H3PO4",0.1941
"24",0.2784,"H3PO4",0.1991
"25",0.2904,"H3PO4",0.1983
"26",0.3024,"H3PO4",0.1991
"27",0.3144,"H3PO4",0.2025
"28",0.3264,"H3PO4",0.2017
"29",0.3384,"H3PO4",0.2051
"30",0.3504,"H3PO4",0.206
"31",0.3624,"H3PO4",0.2068
"32",0.3744,"H3PO4",0.2107
"33",0.3864,"H3PO4",0.2094
"34",0.3984,"H3PO4",0.2116
"35",0.4104,"H3PO4",0.2134
"36",0.4224,"H3PO4",0.2125
"37",0.4344,"H3PO4",0.2186
"38",0.4464,"H3PO4",0.2173
"39",0.4584,"H3PO4",0.2195
"40",0.4704,"H3PO4",0.2213
"41",0.4824,"H3PO4",0.2191
"42",0.4944,"H3PO4",0.2231
"43",0.5064,"H3PO4",0.2231
"44",0.5184,"H3PO4",0.2245
"45",0.5304,"H3PO4",0.2281
"46",0.5424,"H3PO4",0.2267
"47",0.5544,"H3PO4",0.2294
"48",0.5664,"H3PO4",0.2299
"49",0.5784,"H3PO4",0.2303
"50",0.5904,"H3PO4",0.2345
"51",0.6024,"H3PO4",0.2326
"52",0.6144,"H3PO4",0.2363
"53",0.6264,"H3PO4",0.2359
"54",0.6384,"H3PO4",0.2349
"55",0.6504,"H3PO4",0.2396
"56",0.6624,"H3PO4",0.2386
"57",0.6744,"H3PO4",0.2414
"58",0.6864,"H3PO4",0.2428
"59",0.6984,"H3PO4",0.2414
"60",0.7104,"H3PO4",0.2442
"61",0.7224,"H3PO4",0.2433
"62",0.7344,"H3PO4",0.2442
"63",0.7464,"H3PO4",0.2485
"64",0.7584,"H3PO4",0.2466
"65",0.7704,"H3PO4",0.2504
"66",0.7825,"H3PO4",0.2495
"67",0.7945,"H3PO4",0.2495
"68",0.8065,"H3PO4",0.2523
"69",0.8185,"H3PO4",0.2509
"70",0.8305,"H3PO4",0.2547
"71",0.8425,"H3PO4",0.2547
"72",0.8545,"H3PO4",0.2533
"73",0.8665,"H3PO4",0.2557
"74",0.8785,"H3PO4",0.2542
"75",0.8905,"H3PO4",0.2562
"76",0.9025,"H3PO4",0.2571
"77",0.9145,"H3PO4",0.2562
"78",0.9265,"H3PO4",0.2606
"79",0.9385,"H3PO4",0.2591
"80",0.9505,"H3PO4",0.2596
"81",NA,"H3PO4",NA
"82",NA,"H3PO4",NA
"83",NA,"H3PO4",NA
"84",NA,"H3PO4",NA
"85",NA,"H3PO4",NA
"86",NA,"H3PO4",NA
"87",NA,"H3PO4",NA
"88",NA,"H3PO4",NA
"89",NA,"H3PO4",NA
"90",NA,"H3PO4",NA
"91",NA,"H3PO4",NA
"92",NA,"H3PO4",NA
"93",NA,"H3PO4",NA
"94",NA,"H3PO4",NA
"95",NA,"H3PO4",NA
