"","time","Isotope","Product"
"1",0.0024,"D2O",0.01254
"2",0.0144,"D2O",0.009255
"3",0.0264,"D2O",0.007622
"4",0.0384,"D2O",0.01172
"5",0.0504,"D2O",0.01117
"6",0.0624,"D2O",0.01062
"7",0.0744,"D2O",0.01419
"8",0.08641,"D2O",0.01117
"9",0.09841,"D2O",0.01364
"10",0.1104,"D2O",0.01474
"11",0.1224,"D2O",0.01254
"12",0.1344,"D2O",0.01724
"13",0.1464,"D2O",0.01392
"14",0.1584,"D2O",0.01613
"15",0.1704,"D2O",0.01696
"16",0.1824,"D2O",0.01502
"17",0.1944,"D2O",0.01807
"18",0.2064,"D2O",0.01668
"19",0.2184,"D2O",0.01668
"20",0.2304,"D2O",0.02002
"21",0.2424,"D2O",0.0164
"22",0.2544,"D2O",0.01974
"23",0.2664,"D2O",0.01919
"24",0.2784,"D2O",0.01807
"25",0.2904,"D2O",0.02142
"26",0.3024,"D2O",0.01807
"27",0.3144,"D2O",0.0217
"28",0.3264,"D2O",0.0203
"29",0.3384,"D2O",0.02002
"30",0.3504,"D2O",0.02283
"31",0.3624,"D2O",0.0203
"32",0.3744,"D2O",0.02227
"33",0.3864,"D2O",0.02283
"34",0.3984,"D2O",0.02058
"35",0.4104,"D2O",0.0248
"36",0.4224,"D2O",0.02227
"37",0.4344,"D2O",0.02339
"38",0.4464,"D2O",0.02537
"39",0.4584,"D2O",0.02199
"40",0.4704,"D2O",0.02622
"41",0.4824,"D2O",0.02367
"42",0.4944,"D2O",0.02452
"43",0.5064,"D2O",0.0265
"44",0.5184,"D2O",0.02367
"45",0.5304,"D2O",0.02622
"46",0.5424,"D2O",0.02622
"47",0.5544,"D2O",0.0248
"48",0.5664,"D2O",0.02849
"49",0.5784,"D2O",0.02537
"50",0.5904,"D2O",0.02792
"51",0.6024,"D2O",0.02849
"52",0.6144,"D2O",0.02622
"53",0.6264,"D2O",0.03021
"54",0.6384,"D2O",0.02735
"55",0.6504,"D2O",0.02878
"56",0.6624,"D2O",0.02992
"57",0.6744,"D2O",0.02792
"58",0.6864,"D2O",0.03107
"59",0.6984,"D2O",0.02935
"60",0.7104,"D2O",0.02992
"61",0.7224,"D2O",0.03164
