"","time","Seed_Concentration","Product"
"1",0.0024,"0.0",0.147
"2",0.0144,"0.0",0.1584
"3",0.0264,"0.0",0.172
"4",0.0384,"0.0",0.2036
"5",0.0504,"0.0",0.247
"6",0.0624,"0.0",0.2843
"7",0.0744,"0.0",0.3069
"8",0.0864,"0.0",0.3246
"9",0.0984,"0.0",0.3383
"10",0.1104,"0.0",0.3524
"11",0.1224,"0.0",0.3658
"12",0.1344,"0.0",0.3803
"13",0.1464,"0.0",0.3939
"14",0.1584,"0.0",0.4073
"15",0.1704,"0.0",0.4197
"16",0.1824,"0.0",0.434
"17",0.1944,"0.0",0.4472
"18",0.2064,"0.0",0.4631
"19",0.2184,"0.0",0.4773
"20",0.2304,"0.0",0.4903
"21",0.2424,"0.0",0.5045
"22",0.2544,"0.0",0.5183
"23",0.2664,"0.0",0.5344
"24",0.2784,"0.0",0.5493
"25",0.2904,"0.0",0.5646
"26",0.3024,"0.0",0.5755
"27",0.3144,"0.0",0.5908
"28",0.3264,"0.0",0.6077
"29",0.3384,"0.0",0.6209
"30",0.3504,"0.0",0.6379
"31",0.3624,"0.0",0.6496
"32",0.3744,"0.0",0.6641
"33",0.3864,"0.0",0.6791
"34",0.3984,"0.0",0.6973
"35",0.4104,"0.0",0.7122
"36",0.4224,"0.0",0.7261
"37",0.4344,"0.0",0.7391
"38",0.4464,"0.0",0.7524
"39",0.4584,"0.0",0.7662
"40",0.4704,"0.0",0.7852
"41",0.4824,"0.0",0.8001
"42",0.4944,"0.0",0.8155
"43",0.5064,"0.0",0.8261
"44",0.5184,"0.0",0.8406
"45",0.5304,"0.0",0.8575
"46",0.5424,"0.0",0.8712
"47",0.5544,"0.0",0.8852
"48",0.5664,"0.0",0.8956
"49",0.5784,"0.0",0.9127
"50",0.5904,"0.0",0.9282
"51",0.6024,"0.0",0.942
"52",0.6144,"0.0",0.9562
"53",0.6264,"0.0",0.9659
"54",0.6384,"0.0",0.9809
"55",0.6504,"0.0",0.9939
"56",0.6624,"0.0",1.013
"57",0.6744,"0.0",1.027
"58",0.6864,"0.0",1.038
"59",0.6984,"0.0",1.047
"60",0.7104,"0.0",1.059
"61",0.7224,"0.0",1.078
"62",0.7344,"0.0",1.094
"63",0.7464,"0.0",1.107
"64",0.7584,"0.0",1.118
"65",0.7704,"0.0",1.125
"66",0.7825,"0.0",1.139
"67",0.7945,"0.0",1.15
"68",0.8065,"0.0",1.169
"69",0.8185,"0.0",1.185
"70",0.8305,"0.0",1.194
"71",0.8425,"0.0",1.198
"72",0.8545,"0.0",1.211
"73",0.8665,"0.0",1.224
"74",0.8785,"0.0",1.242
"75",0.8905,"0.0",1.251
"76",0.9025,"0.0",1.271
"77",0.9145,"0.0",1.271
"78",0.9265,"0.0",1.281
"79",0.9385,"0.0",1.296
"80",0.9505,"0.0",1.318
"81",0.0024,"0.1",0.1495
"82",0.0144,"0.1",0.1615
"83",0.0264,"0.1",0.174
"84",0.0384,"0.1",0.2083
"85",0.0504,"0.1",0.2672
"86",0.0624,"0.1",0.3162
"87",0.0744,"0.1",0.3336
"88",0.0864,"0.1",0.3518
"89",0.0984,"0.1",0.3683
"90",0.1104,"0.1",0.3816
"91",0.1224,"0.1",0.3972
"92",0.1344,"0.1",0.4121
"93",0.1464,"0.1",0.4254
"94",0.1584,"0.1",0.442
"95",0.1704,"0.1",0.4555
"96",0.1824,"0.1",0.4701
"97",0.1944,"0.1",0.4862
"98",0.2064,"0.1",0.4994
"99",0.2184,"0.1",0.5166
"100",0.2304,"0.1",0.5317
"101",0.2424,"0.1",0.5446
"102",0.2544,"0.1",0.5617
"103",0.2664,"0.1",0.5775
"104",0.2784,"0.1",0.5908
"105",0.2904,"0.1",0.6077
"106",0.3024,"0.1",0.6242
"107",0.3144,"0.1",0.6368
"108",0.3264,"0.1",0.6544
"109",0.3384,"0.1",0.6691
"110",0.3504,"0.1",0.683
"111",0.3624,"0.1",0.7013
"112",0.3744,"0.1",0.7149
"113",0.3864,"0.1",0.7304
"114",0.3984,"0.1",0.7464
